timestamp,sound_type,beat_number
0.500670909881592,stim,1
1.50105500221252,player,1
2.50107192993164,stim,2
3.50116491317749,player,2
4.50070309638977,stim,3
5.50066900253296,player,3
6.50040817260742,stim,4
7.50048208236694,player,4
8.50047922134399,stim,5
9.50020003318787,player,5
10.5009119510651,stim,6
11.5004940032959,player,6
12.5002710819244,stim,7
13.5011348724365,player,7
14.5005049705505,stim,8
15.5004839897156,player,8
16.5011239051819,stim,9
17.5003769397736,player,9
18.500736951828,stim,10
19.5004258155823,player,10
