timestamp,sound_type,beat_number
0.500704765319824,stim,1
1.50066184997559,player,1
2.5005350112915,stim,2
3.50021576881409,player,2
4.50054597854614,stim,3
5.50135779380798,player,3
6.50019788742065,stim,4
7.50103402137756,player,4
8.50059199333191,stim,5
9.50042605400085,player,5
10.5002558231354,stim,6
11.5011327266693,player,6
12.5001659393311,stim,7
13.5007500648499,player,7
14.5004739761353,stim,8
15.5009779930115,player,8
16.5001790523529,stim,9
17.5009968280792,player,9
18.5003497600555,stim,10
19.5007719993591,player,10
