timestamp,sound_type,beat_number
0.500598907470703,stim,1
1.5006148815155,player,1
2.50083613395691,stim,2
3.50018811225891,player,2
4.50078892707825,stim,3
5.50041699409485,player,3
6.50131797790527,stim,4
7.50016188621521,player,4
8.50085091590881,stim,5
9.50068497657776,player,5
10.5006580352783,stim,6
11.500128030777,player,6
12.5007970333099,stim,7
13.5004029273987,player,7
14.5007319450378,stim,8
15.5009369850159,player,8
16.5006189346313,stim,9
17.500214099884,player,9
18.5003018379211,stim,10
19.5010719299316,player,10
