PlayerID,TapTime,CycleNumber
1,20.4874098300934,1
2,21.5364398956299,1
1,22.4811179637909,2
2,23.4984209537506,2
1,24.4896268844604,3
2,25.5084331035614,3
1,26.5957798957825,4
2,27.6302239894867,4
1,28.6538100242615,5
2,29.6882338523865,5
1,30.6793558597565,6
2,31.6807909011841,6
1,32.6901841163635,7
2,33.7242369651794,7
1,34.6995358467102,8
2,35.7341368198395,8
1,36.7103309631348,9
2,37.7261850833893,9
1,38.7683610916138,10
2,39.7847957611084,10
1,40.8252251148224,11
2,41.8270449638367,11
1,42.899071931839,12
2,43.9636988639832,12
1,45.0210218429565,13
2,46.0555789470673,13
1,47.1261639595032,14
2,48.1934139728546,14
1,49.2494330406189,15
2,50.3140950202942,15
1,51.3075759410858,16
2,52.355034828186,16
1,53.3977859020233,17
2,54.4293248653412,17
1,55.4534919261932,18
2,56.5033419132233,18
1,57.5441689491272,19
2,58.5934917926788,19
1,59.602157831192,20
2,60.6501598358154,20
