player_id,timestamp,turn,se,predicted_interval
stim,20.5016937255859,1,,
player,21.5619637966156,1,0,1.36878029887597
stim,22.9308779239655,2,,
player,24.0818240642548,2,0.108983993530273,1.05384835995921
stim,25.1360359191895,3,,
player,26.3321259021759,3,-0.0709390640258789,0.933037549563417
stim,27.2655048370361,4,,
player,28.4206187725067,4,-0.110867500305176,0.594286426094416
stim,29.0151388645172,5,,
player,29.8405599594116,5,-0.115450501441956,1.09640269541303
stim,30.9372868537903,6,,
player,31.9782691001892,6,0.0278723239898682,1.34241895696639
stim,33.3210089206696,7,,
player,34.5324547290802,7,0.0656470060348511,0.992936211266568
stim,35.5254929065704,8,,
player,36.5433249473572,8,-0.0123969316482544,1.21679872525178
stim,37.7602257728577,9,,
player,38.823343038559,9,0.0768917798995972,1.0939564070078
stim,39.9175310134888,10,,
player,41.025337934494,10,-0.00680947303771973,1.21608357905892
stim,42.2416598796844,11,,
player,43.291158914566,11,0.0834114551544189,1.12861091928766
stim,44.4198110103607,12,,
player,45.6205468177795,12,-0.0360418558120728,1.00906041671926
stim,46.6296339035034,13,,
player,47.6636719703674,13,-0.0124754905700684,0.563949249897916
stim,48.2276539802551,14,,
player,48.9059309959412,14,-0.0571475028991699,1.20432740895997
stim,50.1102938652039,15,,
player,50.9973969459534,15,0.158629894256592,1.01270208769809
stim,52.0101318359375,16,,
player,52.8778340816498,16,0.0725163221359253,1.30955666601307
stim,54.1874237060547,17,,
player,55.2411737442017,17,0.127919793128967,0.994450528241347
stim,56.2356469631195,18,,
player,57.170952796936,18,0.0295836925506592,1.84310619638639
stim,59.0140960216522,19,,
player,60.1061899662018,19,0.375524640083313,1.25436341366057
stim,61.360582113266,20,,
