timestamp,sound_type,beat_number
0.501379013061523,stim,1
1.50103688240051,player,1
2.50057291984558,stim,2
3.50076913833618,player,2
4.50104284286499,stim,3
5.50124287605286,player,3
6.50091195106506,stim,4
7.5011990070343,player,4
8.50078773498535,stim,5
9.50070810317993,player,5
10.5004289150238,stim,6
11.5012919902802,player,6
12.5014119148254,stim,7
13.5010850429535,player,7
14.5009407997131,stim,8
15.5008521080017,player,8
16.5006980895996,stim,9
17.5006890296936,player,9
18.5007190704346,stim,10
19.5009169578552,player,10
