player_id,timestamp,cycle
1,20.5313141345978,1
2,21.6243612766266,1
1,22.6335182189941,2
2,23.6985321044922,2
1,24.7396111488342,3
2,25.7733550071716,3
1,26.828654050827,4
2,27.831335067749,4
1,28.8396871089935,5
2,29.9054832458496,5
1,30.9779560565948,6
2,32.0473961830139,6
1,33.0665390491486,7
2,34.131530046463,7
1,35.173760175705,8
2,36.1905930042267,8
1,37.2466881275177,9
2,38.2968463897705,9
1,39.3376679420471,10
2,40.403834104538,10
1,41.4424161911011,11
2,42.5243310928345,11
1,43.6445143222809,12
2,44.6786370277405,12
1,45.7353692054749,13
2,46.8175661563873,13
1,47.8585929870605,14
2,48.9231522083282,14
1,49.9643621444702,15
2,51.0141422748566,15
1,52.0548801422119,16
2,53.1368501186371,16
1,54.2400872707367,17
2,55.306253194809,17
1,56.3945300579071,18
2,57.4612452983856,18
1,58.5165252685547,19
2,59.534627199173,19
1,60.5741460323334,20
2,61.5918850898743,20
