timestamp,sound_type,beat_number
0.501317977905273,stim,1
1.50121212005615,player,1
2.50097703933716,stim,2
3.50065112113953,player,2
4.50112295150757,stim,3
5.50087213516235,player,3
6.50038409233093,stim,4
7.50029897689819,player,4
8.50041103363037,stim,5
9.50078010559082,player,5
10.5010390281677,stim,6
11.5006372928619,player,6
12.5004160404205,stim,7
13.5003209114075,player,7
14.5002188682556,stim,8
15.5010690689087,player,8
16.5004789829254,stim,9
17.5008089542389,player,9
18.5007359981537,stim,10
19.5004489421844,player,10
