player_id,timestamp,turn,se,predicted_interval
stim,20.5010290145874,1,,
player,21.5152790546417,1,0,1.50481523354131
stim,23.0205690860748,2,,
player,24.3702991008759,2,0.07778000831604,1.75868545760702
stim,26.1293389797211,3,,
player,27.4358420372009,3,0.226268410682678,0.686087232721257
stim,28.1222140789032,4,,
player,29.0478782653809,4,-0.119646072387695,0.85253658896644
stim,29.9006280899048,5,,
player,30.8664059638977,5,-0.0565140247344971,0.852289152203533
stim,31.7189192771912,6,,
player,32.7164430618286,6,-0.0725052356719971,1.37225378597825
stim,34.088937997818,7,,
player,35.1899521350861,7,0.135740399360657,0.90953657997367
stim,36.0997951030731,8,,
player,37.1536641120911,8,-0.0720130205154419,1.24602081616273
stim,38.3997890949249,9,,
player,39.3885481357574,9,0.128682971000671,1.49393322721522
stim,40.8828010559082,10,,
player,41.9397220611572,10,0.218665957450867,0.345455985291691
stim,42.2853648662567,11,,
player,43.0092861652374,11,-0.189139246940613,1.21924077096351
stim,44.2288272380829,12,,
player,45.2280509471893,12,0.110158681869507,0.89506549742733
stim,46.123232126236,13,,
player,47.1272220611572,13,-0.0544043779373169,1.24170658955247
stim,48.369056224823,14,,
player,49.4412670135498,14,0.0848116874694824,1.59262392469373
stim,51.0339851379395,15,,
player,51.9631011486053,15,0.331801056861877,0.724699181828024
stim,52.6879050731659,16,,
player,53.479218006134,16,-0.0332545042037964,0.881190659101611
stim,54.3605241775513,17,,
player,55.2822041511536,17,-0.0201869010925293,0.984951168143617
stim,56.2672779560089,18,,
player,57.1967389583588,18,0.0278064012527466,1.25061360441912
stim,58.4474821090698,19,,
player,59.4345500469208,19,0.131837606430054,1.09671807713799
stim,60.5313949584961,20,,
