PlayerID,TapTime,CycleNumber
1,20.4245800971985,1
2,21.4243412017822,1
1,22.370441198349,2
2,23.4044952392578,2
1,24.3955790996552,3
2,25.4463419914246,3
1,26.4700450897217,4
2,27.5042221546173,4
1,28.5429480075836,5
2,29.593593120575,5
1,30.6188530921936,6
2,31.5871951580048,6
1,32.5800552368164,7
2,33.567281961441,7
1,34.638108253479,8
2,35.6728639602661,8
1,36.7125480175018,9
2,37.7793681621552,9
1,38.8073801994324,10
2,39.8034589290619,10
1,40.8114411830902,11
2,41.8177101612091,11
1,42.8382861614227,12
2,43.886125087738,12
1,44.8793880939484,13
2,45.911092042923,13
1,46.9521570205688,14
2,47.9689331054688,14
1,48.9460442066193,15
2,49.9954259395599,15
1,51.0660200119019,16
2,52.0845620632172,16
1,53.0920751094818,17
2,54.1265070438385,17
1,55.167661190033,18
2,56.1855261325836,18
1,57.223886013031,19
2,58.3211500644684,19
1,59.426117181778,20
2,60.5076472759247,20
