stim_tap,player_tap
2.01376700401306,3.55066895484924
4.0056049823761,5.38310599327087
6.00590109825134,7.56798911094666
8.00611209869385,9.50105810165405
10.006322145462,11.5708849430084
12.0063149929047,13.5798401832581
14.0065910816193,15.589693069458
16.0066730976105,17.6014120578766
18.0069680213928,19.5128231048584
20.0069780349731,21.6497581005096
22.3705720901489,23.992956161499
25.3374581336975,26.8321120738983
27.2478530406952,28.7757420539856
30.082957983017,31.7735471725464
33.0809950828552,34.7387490272522
35.2648839950562,36.9075062274933
37.970507144928,40.1286859512329
41.4357190132141,43.2695710659027
44.0711450576782,46.1562640666962
47.4622452259064,49.6493310928345
50.9557061195374,52.9507811069489
54.2571082115173,56.5537791252136
57.8601810932159,60.3169012069702
61.6230571269989,63.8559169769287
65.022411108017,67.1568782329559
68.3257989883423,70.3764250278473
71.6825661659241,73.6929171085358
74.9990401268005,77.0248801708221
78.3310611248016,80.3894741535187
81.6960530281067,83.6132791042328
84.5493211746216,86.4949479103088
87.801059961319,89.7480220794678
90.8322741985321,92.6650772094727
93.9714498519897,96.0133681297302
